STATION_ID,STATION_NAME,STATION_X,STATION_Y,target,level,level-target
4161,인향동,126.2438,33.2767,491,2,2&491
4162,인향동,126.24372,33.27626,491,2,2&491
4163,하효고막곶,126.61394,33.2491,492,2,2&492
4165,하효고막곶,126.61372,33.24905,492,2,2&492
4167,삼매봉중계소입구,126.5522,33.24232,493,2,2&493
4168,삼매봉중계소입구,126.55278,33.2422,493,2,2&493
4169,체육공원입구,126.60846,33.27415,494,2,2&494
4172,체육공원입구,126.60831,33.27407,494,2,2&494
4173,헬스케어타운,126.56382,33.2812,495,2,2&495
4174,헬스케어타운,126.56379,33.28099,495,2,2&495
4175,소남동산,126.6317,33.29445,496,2,2&496
4176,명춘동산,126.66102,33.28996,497,2,2&497
4177,하례1리,126.62927,33.26653,498,2,2&498
4178,남내소,126.62382,33.26963,499,2,2&499
4179,남내소,126.62356,33.269659999999995,499,2,2&499
4180,하례1리,126.62905,33.26632,498,2,2&498
4181,자미성,126.66064,33.29019,497,2,2&497
4182,소남동산,126.63187,33.2944,496,2,2&496
4189,활오름,126.4832,33.26135,436,2,2&436
4191,토산1리송천교,126.76141,33.32431,500,2,2&500
4192,내영굴,126.78709,33.34546,501,2,2&501
4193,의사오흥태비,126.87865,33.40078,502,2,2&502
4194,성산보건지소,126.91495,33.447,321,2,2&321
4195,의사오흥태비,126.87867,33.40095,502,2,2&502
4196,내영굴,126.78668,33.34582,501,2,2&501
4197,토산1리송천교,126.76134,33.324490000000004,500,2,2&500
4198,성산서부게이트볼장,126.88025,33.38748,503,2,2&503
4199,흥덕사,126.87606,33.39913,504,2,2&504
4200,흥덕사,126.876,33.39903,504,2,2&504
4201,성산서부게이트볼장,126.88012,33.38745,503,2,2&503
4204,예담요양원,126.81633,33.34226,446,2,2&446
4205,크라운골프연습장,126.8029,33.33979,505,2,2&505
4206,크라운골프연습장,126.80309,33.33965,505,2,2&505
4210,(구)화산초등학교,126.79726,33.326229999999995,157,2,2&157
4211,(구)구판장,126.79805,33.32968,506,2,2&506
4212,(구)구판장,126.79788,33.32973,506,2,2&506
4215,용주사,126.77408,33.317840000000004,507,2,2&507
4216,용주사,126.77407,33.3177,507,2,2&507
4220,대정읍다목적회관,126.26695,33.22094,508,2,2&508
4221,화순해안경비안전센터사계출장소,126.29979,33.22527,418,2,2&418
4222,대정읍다목적회관,126.26702,33.22099,508,2,2&508
4223,화순리동하동경로당,126.33795,33.24022,509,2,2&509
4225,화순리동하동경로당,126.33865,33.24054,509,2,2&509
